Country,Year,Predicted,Actual
Kyrgyzstan,2025,188.9629016875762,
Kyrgyzstan,2026,187.4082166312401,
Kyrgyzstan,2027,186.81349062947757,
Kyrgyzstan,2028,186.86881791844556,
Kyrgyzstan,2029,187.21741285709547,
Kyrgyzstan,2030,188.18690768537024,
Lesotho,2025,64.70094520653464,
Lesotho,2026,60.68109317371193,
Lesotho,2027,57.40781339145417,
Lesotho,2028,56.64402412407304,
Lesotho,2029,56.47283253983284,
Lesotho,2030,55.50402026020595,
Uzbekistan,2025,1209.108965442382,
Uzbekistan,2026,1196.5708266085378,
Uzbekistan,2027,1186.441680130045,
Uzbekistan,2028,1176.0573460218725,
Uzbekistan,2029,1167.3498018242362,
Uzbekistan,2030,1160.0796136909355,
