Country,Year,P5,P10,P25,P50,P75,P90,P95,Mean
Kyrgyzstan,2025,170.65863339982727,174.3181348440936,181.38257898328987,188.7128448156083,195.82618773004478,203.41187178094157,208.58687280176815,188.73192065368207
Kyrgyzstan,2026,163.83038965000577,169.02257522209754,178.19766304215455,188.37379334329137,199.9876553880195,210.68625035704144,217.6029068276294,189.54563296968692
Kyrgyzstan,2027,158.79571310076912,163.6846022796427,176.98420558351108,187.56181719130797,199.45456079696984,211.17338793894808,217.04261127353737,187.69865354304423
Kyrgyzstan,2028,156.95702518704158,163.82126983264084,175.28318026801952,188.68030031917806,201.62327192632125,214.72321115000068,223.5970526687476,188.95762782104117
Kyrgyzstan,2029,153.75523914779268,160.94857979800668,174.52494491087396,190.03593089120392,207.7740736810128,223.52628818100646,230.69562737602604,190.75752963514344
Kyrgyzstan,2030,149.98430616681782,160.46065220577864,176.66075325010195,194.55591852719346,211.50206407972723,227.10953064679092,240.1588140507358,194.2029832817865
Lesotho,2025,58.175709395812376,59.59475140518285,62.2300323080857,64.51876305675496,66.87870328930666,68.58889334,68.58889334,64.14126320831784
Lesotho,2026,42.69394350484788,46.11373957944981,52.6984176018093,60.37464627860095,67.34267036557185,68.58889334,68.58889334,58.926353668130425
Lesotho,2027,38.912879712914076,43.28854980925586,50.5194276735654,58.65430368423118,68.49768381127681,68.58889334,68.58889334,57.50276590687511
Lesotho,2028,36.68995845885235,41.04875120083161,49.67983368515742,58.881456916234114,68.58889334,68.58889334,68.58889334,57.19043669918071
Lesotho,2029,35.24971348507758,41.58740030081991,52.120670541292895,61.208260069167736,68.58889334,68.58889334,68.58889334,58.2014440346047
Lesotho,2030,35.18258425798882,40.7827773527833,48.795480971669065,62.87033117437291,68.58889334,68.58889334,68.58889334,57.73410782915838
Uzbekistan,2025,1128.5137805204818,1151.5714381683388,1177.3149258374651,1207.9945804523802,1240.0413076882303,1265.3769275573197,1285.748230204534,1207.7595836606893
Uzbekistan,2026,1111.7006104738698,1131.974647103027,1162.0496011734456,1199.165961665119,1235.1173130097009,1263.9697721367756,1286.6357616410749,1197.9253579356134
Uzbekistan,2027,1095.9744480039453,1111.3260959209122,1155.4508640665115,1193.8669269085233,1233.882416693211,1279.0520235018078,1298.2466292919019,1194.2865964894706
Uzbekistan,2028,1073.063443970592,1108.3645685900908,1149.517923345075,1190.1044610315776,1232.2914110785769,1269.5301000758668,1291.9735424816874,1190.3452726147952
Uzbekistan,2029,1058.3749653527125,1093.9503494484502,1136.5484731117062,1182.7802212374827,1233.3065443142593,1278.2123228406688,1309.8411213099248,1184.503137840162
Uzbekistan,2030,1057.8712591926699,1085.495186485105,1130.1092859224916,1182.459677865178,1227.0764010929206,1275.2243447355459,1303.6716627110359,1180.814031715172
